sample,uptime_ms,elapsed_ms,elapsed_s,run,mode,x_in,y_in,heading_deg,linear_speed_ips,angular_speed_dps,battery_mv,battery_capacity_pct,missed_samples,m5_left_front_rpm,m5_left_front_target_rpm,m5_left_front_temp_c,m5_left_front_voltage_mv,m5_left_front_current_ma,m13_left_middle_rpm,m13_left_middle_target_rpm,m13_left_middle_temp_c,m13_left_middle_voltage_mv,m13_left_middle_current_ma,m12_left_back_rpm,m12_left_back_target_rpm,m12_left_back_temp_c,m12_left_back_voltage_mv,m12_left_back_current_ma,m17_right_front_rpm,m17_right_front_target_rpm,m17_right_front_temp_c,m17_right_front_voltage_mv,m17_right_front_current_ma,m14_right_middle_rpm,m14_right_middle_target_rpm,m14_right_middle_temp_c,m14_right_middle_voltage_mv,m14_right_middle_current_ma,m15_right_back_rpm,m15_right_back_target_rpm,m15_right_back_temp_c,m15_right_back_voltage_mv,m15_right_back_current_ma,m19_intake_bottom_rpm,m19_intake_bottom_target_rpm,m19_intake_bottom_temp_c,m19_intake_bottom_voltage_mv,m19_intake_bottom_current_ma,m20_intake_top_rpm,m20_intake_top_target_rpm,m20_intake_top_temp_c,m20_intake_top_voltage_mv,m20_intake_top_current_ma
10,12500,500,0.5,SYNTHETIC_EXAMPLE,autonomous,-41.935,-53.962,59.661,0.4024,-0.0003,12774,95,0,2.36,0,35,47,71,2.37,0,35,47,71,2.37,0,35,47,71,2.36,0,35,47,71,2.37,0,35,47,71,2.36,0,35,47,71,-0.0,0,45,0,65,-0.0,0,45,0,65
11,12550,550,0.55,SYNTHETIC_EXAMPLE,autonomous,-41.914,-53.9496,59.661,0.4881,-0.0005,12773,95,0,2.87,0,35,57,72,2.87,0,35,57,72,2.87,0,35,57,72,2.87,0,35,57,72,2.87,0,35,57,72,2.87,0,35,57,72,0.36,0,45,49,67,0.36,0,45,49,67
12,12600,600,0.6,SYNTHETIC_EXAMPLE,autonomous,-41.8889,-53.935,59.661,0.5814,-0.0008,12772,95,0,3.42,0,35,68,73,3.42,0,35,68,73,3.42,0,35,68,73,3.42,0,35,68,73,3.42,0,35,68,73,3.42,0,35,68,73,1.73,0,45,189,74,1.73,0,45,189,74
13,12650,650,0.65,SYNTHETIC_EXAMPLE,autonomous,-41.8594,-53.9177,59.661,0.6821,-0.0012,12771,95,0,4.01,0,35,80,74,4.01,0,35,80,74,4.01,0,35,80,74,4.01,0,35,80,74,4.01,0,35,80,74,4.01,0,35,80,74,4.56,0,45,413,86,4.56,0,45,413,86
14,12700,700,0.7,SYNTHETIC_EXAMPLE,autonomous,-41.8253,-53.8978,59.661,0.79,-0.0017,12769,95,0,4.64,0,35,93,75,4.65,0,35,93,75,4.65,0,35,93,75,4.64,0,35,93,75,4.65,0,35,93,75,4.64,0,35,93,75,9.21,0,45,711,101,9.21,0,45,711,101
15,12750,750,0.75,SYNTHETIC_EXAMPLE,autonomous,-41.7863,-53.8749,59.661,0.905,-0.0024,12767,95,0,5.32,0,35,106,76,5.32,0,35,106,76,5.32,0,35,106,76,5.32,0,35,106,76,5.32,0,35,106,76,5.32,0,35,106,76,15.9,0,45,1076,121,15.9,0,45,1076,121
16,12800,800,0.8,SYNTHETIC_EXAMPLE,autonomous,-41.742,-53.849,59.66,1.0269,-0.0033,12765,95,0,6.03,0,35,121,77,6.04,0,35,121,77,6.04,0,35,121,77,6.03,0,35,121,77,6.04,0,35,121,77,6.03,0,35,121,77,24.77,0,45,1500,144,24.77,0,45,1500,144
17,12850,850,0.85,SYNTHETIC_EXAMPLE,autonomous,-41.6921,-53.8198,59.66,1.1554,-0.0045,12762,95,0,6.79,0,35,136,78,6.79,0,35,136,78,6.79,0,35,136,78,6.79,0,35,136,78,6.79,0,35,136,78,6.79,0,35,136,78,35.85,0,45,1974,171,35.85,0,45,1974,171
18,12900,900,0.9,SYNTHETIC_EXAMPLE,autonomous,-41.6364,-53.7872,59.66,1.2905,-0.0059,12759,95,0,7.58,0,35,152,80,7.59,0,35,152,80,7.59,0,35,152,80,7.59,0,35,152,80,7.59,0,35,152,80,7.58,0,35,152,80,49.14,0,45,2489,200,49.14,0,45,2489,200
19,12950,950,0.95,SYNTHETIC_EXAMPLE,autonomous,-41.5746,-53.751,59.66,1.432,-0.0077,12755,95,0,8.42,0,35,168,81,8.42,0,35,168,81,8.42,0,35,168,81,8.42,0,35,168,81,8.42,0,35,168,81,8.41,0,35,168,81,64.55,0,45,3038,232,64.55,0,45,3038,232
20,13000,1000,1.0,SYNTHETIC_EXAMPLE,autonomous,-41.5065,-53.7111,59.659,1.5796,-0.0099,12752,95,0,9.28,0,35,186,82,9.28,0,35,186,82,9.29,0,35,186,82,9.29,0,35,186,82,9.29,0,35,186,82,9.28,0,35,186,82,81.95,0,45,3611,267,81.95,0,45,3611,267
21,13050,1050,1.05,SYNTHETIC_EXAMPLE,autonomous,-41.4317,-53.6674,59.658,1.7333,-0.0125,12748,95,0,10.19,0,35,204,84,10.18,0,35,204,84,10.19,0,35,204,84,10.2,0,35,204,84,10.19,0,35,204,84,10.18,0,35,204,84,101.17,0,45,4201,303,101.17,0,45,4201,303
22,13100,1100,1.1,SYNTHETIC_EXAMPLE,autonomous,-41.35,-53.6196,59.658,1.8929,-0.0157,12744,95,0,11.12,0,35,222,85,11.12,0,35,222,85,11.12,0,35,222,85,11.14,0,35,223,85,11.13,0,35,223,85,11.12,0,35,223,85,121.99,0,45,4800,340,121.99,0,45,4800,340
23,13150,1150,1.15,SYNTHETIC_EXAMPLE,autonomous,-41.2612,-53.5676,59.657,2.0581,-0.0195,12740,95,0,12.09,0,35,242,87,12.09,0,35,242,87,12.09,0,35,242,87,12.11,0,35,242,87,12.1,0,35,242,87,12.09,0,35,242,87,144.19,0,45,5399,378,144.19,0,45,5399,378
24,13200,1200,1.2,SYNTHETIC_EXAMPLE,autonomous,-41.165,-53.5113,59.655,2.2289,-0.0239,12736,95,0,13.09,0,35,262,88,13.09,0,35,262,88,13.1,0,35,262,88,13.12,0,35,262,88,13.1,0,35,262,88,13.1,0,35,262,88,167.47,0,45,5989,416,167.47,0,45,5989,416
25,13250,1250,1.25,SYNTHETIC_EXAMPLE,autonomous,-41.0612,-53.4505,59.654,2.405,-0.0291,12732,95,0,14.13,0,35,282,90,14.12,0,35,282,90,14.13,0,35,282,90,14.16,0,35,283,90,14.14,0,35,283,90,14.14,0,35,283,90,191.57,0,45,6562,454,191.57,0,45,6562,454
26,13300,1300,1.3,SYNTHETIC_EXAMPLE,autonomous,-40.9496,-53.3852,59.652,2.5863,-0.035,12728,95,0,15.19,0,35,304,92,15.18,0,35,304,92,15.19,0,35,304,92,15.23,0,35,304,92,15.21,0,35,304,92,15.21,0,35,304,92,216.17,0,45,7111,491,216.17,0,45,7111,491
27,13350,1350,1.35,SYNTHETIC_EXAMPLE,autonomous,-40.83,-53.3151,59.65,2.7726,-0.0419,12725,95,0,16.28,0,35,325,93,16.27,0,35,325,93,16.28,0,35,325,93,16.33,0,35,326,93,16.31,0,35,326,93,16.3,0,35,326,93,240.94,0,45,7626,526,240.94,0,45,7626,526
28,13400,1400,1.4,SYNTHETIC_EXAMPLE,autonomous,-40.7021,-53.2403,59.648,2.9638,-0.0498,12721,95,0,17.4,0,35,348,95,17.38,0,35,348,95,17.4,0,35,348,95,17.46,0,35,349,95,17.43,0,35,349,95,17.43,0,35,349,95,265.55,0,45,8100,560,265.55,0,45,8100,560
29,13450,1450,1.45,SYNTHETIC_EXAMPLE,autonomous,-40.5658,-53.1604,59.645,3.1597,-0.0588,12718,95,0,18.55,0,35,371,97,18.53,0,35,371,97,18.54,0,35,371,97,18.62,0,35,372,97,18.59,0,35,372,97,18.59,0,35,372,97,289.64,0,45,8524,591,289.64,0,45,8524,591
30,13500,1500,1.5,SYNTHETIC_EXAMPLE,autonomous,-40.4208,-53.0755,59.641,3.3601,-0.069,12715,95,0,19.72,0,35,394,98,19.7,0,35,394,98,19.72,0,35,394,98,19.81,0,35,396,99,19.77,0,35,396,99,19.77,0,35,396,99,312.86,0,45,8889,619,312.86,0,45,8889,619
31,13550,1550,1.55,SYNTHETIC_EXAMPLE,autonomous,-40.267,-52.9854,59.637,3.5648,-0.0805,12712,95,0,20.92,0,35,418,100,20.89,0,35,418,100,20.91,0,35,418,100,21.02,0,35,420,100,20.98,0,35,420,100,20.98,0,35,420,100,334.84,0,45,9188,644,334.84,0,45,9188,644
32,13600,1600,1.6,SYNTHETIC_EXAMPLE,autonomous,-40.1042,-52.89,59.633,3.7737,-0.0934,12710,95,0,22.14,0,35,442,102,22.11,0,35,442,102,22.13,0,35,442,102,22.26,0,35,445,102,22.21,0,35,445,102,22.22,0,35,445,102,355.2,0,45,9411,664,355.2,0,45,9411,664
33,13650,1650,1.65,SYNTHETIC_EXAMPLE,autonomous,-39.9323,-52.7893,59.627,3.9867,-0.1078,12707,95,0,23.38,0,35,467,104,23.35,0,35,467,104,23.37,0,35,467,104,23.52,0,35,470,104,23.47,0,35,470,104,23.48,0,35,470,104,373.55,0,45,9551,680,373.55,0,45,9551,680
34,13700,1700,1.7,SYNTHETIC_EXAMPLE,autonomous,-39.7509,-52.683,59.621,4.2034,-0.1239,12706,95,0,24.65,0,35,493,106,24.61,0,35,493,106,24.63,0,35,493,106,24.8,0,35,496,106,24.75,0,35,496,106,24.77,0,35,496,106,389.52,0,45,9600,690,389.52,0,45,9600,690
35,13750,1750,1.75,SYNTHETIC_EXAMPLE,autonomous,-39.5601,-52.5711,59.614,4.4238,-0.1417,12705,95,0,25.93,0,35,518,108,25.89,0,35,518,108,25.91,0,35,518,108,26.11,0,35,522,108,26.06,0,35,522,108,26.07,0,35,522,108,403.09,0,45,9600,697,403.09,0,45,9600,697
36,13800,1800,1.8,SYNTHETIC_EXAMPLE,autonomous,-39.3597,-52.4536,59.606,4.6477,-0.1614,12703,95,0,27.23,0,35,544,110,27.19,0,35,544,110,27.22,0,35,544,110,27.44,0,35,548,110,27.39,0,35,548,110,27.4,0,35,548,110,414.63,0,45,9600,703,414.63,0,45,9600,703
37,13850,1850,1.85,SYNTHETIC_EXAMPLE,autonomous,-39.1494,-52.3302,59.597,4.8749,-0.1831,12702,95,0,28.55,0,35,571,112,28.51,0,35,571,112,28.53,0,35,571,112,28.79,0,35,575,112,28.73,0,35,575,112,28.76,0,35,575,112,424.43,0,45,9600,708,424.43,0,45,9600,708
38,13900,1900,1.9,SYNTHETIC_EXAMPLE,autonomous,-38.9293,-52.201,59.586,5.1052,-0.2069,12701,95,0,29.89,0,35,597,114,29.85,0,35,597,113,29.87,0,35,597,113,30.16,0,35,603,114,30.1,0,35,603,114,30.13,0,35,603,114,432.77,0,45,9600,713,432.77,0,45,9600,713
39,13950,1950,1.95,SYNTHETIC_EXAMPLE,autonomous,-38.6991,-52.0659,59.575,5.3384,-0.233,12700,95,0,31.24,0,35,625,116,31.2,0,35,625,115,31.22,0,35,625,115,31.54,0,35,630,116,31.49,0,35,630,116,31.52,0,35,630,116,439.85,0,45,9600,716,439.85,0,45,9600,716
40,14000,2000,2.0,SYNTHETIC_EXAMPLE,autonomous,-38.4588,-51.9247,59.562,5.5744,-0.2615,12700,95,0,32.61,0,35,652,117,32.57,0,35,652,117,32.59,0,35,652,117,32.95,0,35,658,118,32.89,0,35,658,118,32.92,0,35,658,118,445.88,0,45,9600,719,445.88,0,45,9600,719
41,14050,2050,2.05,SYNTHETIC_EXAMPLE,autonomous,-38.2082,-51.7774,59.547,5.8129,-0.2926,12699,95,0,33.99,0,35,680,119,33.95,0,35,680,119,33.97,0,35,680,119,34.37,0,35,687,120,34.32,0,35,687,120,34.35,0,35,687,120,450.99,0,45,9600,722,450.99,0,45,9600,722
42,14100,2100,2.1,SYNTHETIC_EXAMPLE,autonomous,-37.9473,-51.624,59.531,6.0538,-0.3264,12698,95,0,35.38,0,35,707,121,35.34,0,35,707,121,35.36,0,35,707,121,35.8,0,35,716,122,35.75,0,35,716,122,35.79,0,35,716,122,455.35,0,45,9600,724,455.35,0,45,9600,724
43,14150,2150,2.15,SYNTHETIC_EXAMPLE,autonomous,-37.676,-51.4643,59.512,6.2968,-0.363,12697,95,0,36.78,0,35,736,124,36.74,0,35,736,123,36.76,0,35,736,123,37.25,0,35,745,124,37.21,0,35,745,124,37.24,0,35,745,124,459.04,0,45,9600,726,459.04,0,45,9600,726
44,14200,2200,2.2,SYNTHETIC_EXAMPLE,autonomous,-37.3941,-51.2983,59.492,6.5417,-0.4026,12696,95,0,38.2,0,35,764,126,38.16,0,35,764,125,38.17,0,35,764,125,38.71,0,35,774,127,38.67,0,35,774,126,38.71,0,35,774,127,462.19,0,45,9600,728,462.19,0,45,9600,728
45,14250,2250,2.25,SYNTHETIC_EXAMPLE,autonomous,-37.1017,-51.1259,59.47,6.7884,-0.4454,12695,95,0,39.61,0,35,792,128,39.58,0,35,792,128,39.59,0,35,792,128,40.19,0,35,803,129,40.15,0,35,803,129,40.19,0,35,803,129,464.86,0,45,9600,729,464.86,0,45,9600,729
46,14300,2300,2.3,SYNTHETIC_EXAMPLE,autonomous,-36.7987,-50.9471,59.446,7.0366,-0.4915,12694,95,0,41.04,0,35,821,130,41.01,0,35,821,130,41.02,0,35,821,130,41.67,0,35,833,131,41.64,0,35,833,131,41.68,0,35,833,131,467.13,0,45,9600,730,467.13,0,45,9600,730
47,14350,2350,2.35,SYNTHETIC_EXAMPLE,autonomous,-36.485,-50.7619,59.418,7.2861,-0.5411,12694,95,0,42.47,0,35,850,132,42.44,0,35,850,132,42.45,0,35,850,132,43.16,0,35,863,133,43.14,0,35,863,133,43.18,0,35,863,133,469.06,0,45,9600,731,469.06,0,45,9600,731
48,14400,2400,2.4,SYNTHETIC_EXAMPLE,autonomous,-36.1607,-50.5701,59.389,7.5366,-0.5944,12693,95,0,43.91,0,35,878,134,43.89,0,35,878,134,43.88,0,35,878,134,44.66,0,35,893,135,44.65,0,35,893,135,44.69,0,35,893,135,470.7,0,45,9600,732,470.7,0,45,9600,732
49,14450,2450,2.45,SYNTHETIC_EXAMPLE,autonomous,-35.8256,-50.3717,59.356,7.788,-0.6514,12692,95,0,45.34,0,35,907,136,45.33,0,35,907,136,45.32,0,35,907,136,46.17,0,35,923,137,46.17,0,35,923,137,46.21,0,35,923,137,472.1,0,45,9600,733,472.1,0,45,9600,733
50,14500,2500,2.5,SYNTHETIC_EXAMPLE,autonomous,-35.4798,-50.1667,59.321,8.04,-0.7125,12692,95,0,46.78,0,35,936,138,46.77,0,35,936,138,46.76,0,35,936,138,47.69,0,35,954,139,47.69,0,35,954,139,47.73,0,35,954,139,473.28,0,45,9600,734,473.28,0,45,9600,734
51,14550,2550,2.55,SYNTHETIC_EXAMPLE,autonomous,-35.1233,-49.955,59.282,8.2924,-0.7777,12691,95,0,48.22,0,35,965,140,48.22,0,35,965,140,48.2,0,35,965,140,49.2,0,35,984,141,49.22,0,35,984,142,49.26,0,35,984,142,474.29,0,45,9600,734,474.29,0,45,9600,734
52,14600,2600,2.6,SYNTHETIC_EXAMPLE,autonomous,-34.7561,-49.7366,59.239,8.5449,-0.8474,12690,95,0,49.66,0,35,994,142,49.66,0,35,994,142,49.64,0,35,994,142,50.72,0,35,1015,144,50.75,0,35,1015,144,50.78,0,35,1015,144,475.15,0,45,9600,734,475.15,0,45,9600,734
53,14650,2650,2.65,SYNTHETIC_EXAMPLE,autonomous,-34.3782,-49.5115,59.193,8.7972,-0.9215,12689,95,0,51.09,0,35,1023,144,51.1,0,35,1023,144,51.08,0,35,1023,144,52.25,0,35,1045,146,52.29,0,35,1045,146,52.32,0,35,1045,146,475.87,0,45,9600,735,475.87,0,45,9600,735
54,14700,2700,2.7,SYNTHETIC_EXAMPLE,autonomous,-33.9897,-49.2796,59.143,9.0491,-1.0005,12689,95,0,52.52,0,35,1051,146,52.54,0,35,1051,146,52.51,0,35,1051,146,53.77,0,35,1076,148,53.82,0,35,1076,148,53.85,0,35,1076,148,476.49,0,45,9600,735,476.49,0,45,9600,735
55,14750,2750,2.75,SYNTHETIC_EXAMPLE,autonomous,-33.5906,-49.0409,59.089,9.3003,-1.0844,12688,95,0,53.94,0,35,1080,148,53.97,0,35,1080,148,53.93,0,35,1080,148,55.29,0,35,1106,150,55.35,0,35,1106,150,55.38,0,35,1106,150,477.02,0,45,9600,735,477.02,0,45,9600,735
56,14800,2800,2.8,SYNTHETIC_EXAMPLE,autonomous,-33.181,-48.7954,59.03,9.5506,-1.1735,12687,95,0,55.35,0,35,1108,150,55.39,0,35,1108,150,55.35,0,35,1108,150,56.81,0,35,1137,152,56.88,0,35,1137,152,56.9,0,35,1137,152,477.47,0,45,9600,736,477.47,0,45,9600,736
57,14850,2850,2.85,SYNTHETIC_EXAMPLE,autonomous,-32.761,-48.543,58.967,9.7997,-1.2679,12687,95,0,56.75,0,35,1136,151,56.8,0,35,1136,152,56.76,0,35,1136,151,58.33,0,35,1167,154,58.41,0,35,1167,154,58.42,0,35,1167,154,477.85,0,45,9600,736,477.85,0,45,9600,736
58,14900,2900,2.9,SYNTHETIC_EXAMPLE,autonomous,-32.3307,-48.2838,58.898,10.0472,-1.368,12686,95,0,58.14,0,35,1164,153,58.2,0,35,1164,153,58.15,0,35,1164,153,59.84,0,35,1198,156,59.93,0,35,1198,157,59.94,0,35,1198,156,478.17,0,45,9600,736,478.17,0,45,9600,736
59,14950,2950,2.95,SYNTHETIC_EXAMPLE,autonomous,-31.8902,-48.0177,58.825,10.2929,-1.4739,12686,95,0,59.52,0,35,1192,155,59.58,0,35,1192,155,59.53,0,35,1192,155,61.34,0,35,1228,158,61.45,0,35,1228,159,61.45,0,35,1228,159,478.44,0,45,9600,736,478.44,0,45,9600,736
60,15000,3000,3.0,SYNTHETIC_EXAMPLE,autonomous,-31.4396,-47.7446,58.746,10.5366,-1.5859,12685,95,0,60.88,0,35,1219,157,60.95,0,35,1219,157,60.9,0,35,1219,157,62.84,0,35,1258,160,62.95,0,35,1258,161,62.95,0,35,1258,161,478.68,0,45,9600,736,478.68,0,45,9600,736
61,15050,3050,3.05,SYNTHETIC_EXAMPLE,autonomous,-30.9792,-47.4647,58.66,10.7778,-1.7042,12684,95,0,62.22,0,35,1246,159,62.3,0,35,1246,159,62.24,0,35,1246,159,64.33,0,35,1288,162,64.45,0,35,1288,163,64.43,0,35,1288,163,478.88,0,45,9600,736,478.88,0,45,9600,736
62,15100,3100,3.1,SYNTHETIC_EXAMPLE,autonomous,-30.5089,-47.1778,58.569,11.0163,-1.8291,12684,95,0,63.55,0,35,1272,161,63.63,0,35,1272,161,63.57,0,35,1272,161,65.8,0,35,1317,164,65.93,0,35,1317,165,65.91,0,35,1317,165,479.04,0,45,9600,737,479.04,0,45,9600,737
63,15150,3150,3.15,SYNTHETIC_EXAMPLE,autonomous,-30.0292,-46.8841,58.471,11.2518,-1.9609,12683,95,0,64.85,0,35,1298,162,64.94,0,35,1298,162,64.88,0,35,1298,162,67.26,0,35,1347,166,67.39,0,35,1347,167,67.37,0,35,1347,167,479.19,0,45,9600,737,479.19,0,45,9600,737
64,15200,3200,3.2,SYNTHETIC_EXAMPLE,autonomous,-29.54,-46.5834,58.366,11.4839,-2.0998,12682,95,0,66.13,0,35,1324,164,66.23,0,35,1324,164,66.16,0,35,1324,164,68.71,0,35,1376,168,68.85,0,35,1376,169,68.82,0,35,1376,169,479.31,0,45,9600,737,479.31,0,45,9600,737
65,15250,3250,3.25,SYNTHETIC_EXAMPLE,autonomous,-29.0417,-46.2757,58.253,11.7124,-2.2461,12682,95,0,67.39,0,35,1349,166,67.49,0,35,1349,166,67.42,0,35,1349,166,70.14,0,35,1404,170,70.28,0,35,1404,171,70.24,0,35,1404,170,479.41,0,45,9600,737,479.41,0,45,9600,737
66,15300,3300,3.3,SYNTHETIC_EXAMPLE,autonomous,-28.5345,-45.9612,58.133,11.9368,-2.4001,12681,95,0,68.61,0,35,1373,167,68.72,0,35,1373,167,68.65,0,35,1373,167,71.55,0,35,1432,172,71.69,0,35,1432,172,71.65,0,35,1432,172,479.5,0,45,9600,737,479.5,0,45,9600,737
67,15350,3350,3.35,SYNTHETIC_EXAMPLE,autonomous,-28.0186,-45.6397,58.005,12.157,-2.5622,12681,95,0,69.81,0,35,1397,169,69.92,0,35,1397,169,69.85,0,35,1397,169,72.94,0,35,1460,174,73.09,0,35,1460,174,73.04,0,35,1460,174,479.58,0,45,9600,737,479.58,0,45,9600,737
68,15400,3400,3.4,SYNTHETIC_EXAMPLE,autonomous,-27.4943,-45.3113,57.869,12.3725,-2.7327,12680,95,0,70.98,0,35,1420,170,71.08,0,35,1420,170,71.02,0,35,1420,170,74.32,0,35,1488,176,74.46,0,35,1488,176,74.4,0,35,1488,176,479.64,0,45,9600,737,479.64,0,45,9600,737
69,15450,3450,3.45,SYNTHETIC_EXAMPLE,autonomous,-26.962,-44.976,57.723,12.583,-2.9119,12680,95,0,72.11,0,35,1443,172,72.21,0,35,1443,172,72.16,0,35,1443,172,75.66,0,35,1515,178,75.8,0,35,1515,178,75.74,0,35,1515,178,479.69,0,45,9600,737,479.69,0,45,9600,737
70,15500,3500,3.5,SYNTHETIC_EXAMPLE,autonomous,-26.4218,-44.6338,57.568,12.7882,-3.1001,12679,95,0,73.2,0,35,1465,173,73.31,0,35,1465,173,73.25,0,35,1465,173,76.99,0,35,1541,179,77.12,0,35,1541,180,77.06,0,35,1541,179,479.74,0,45,9600,737,479.74,0,45,9600,737
71,15550,3550,3.55,SYNTHETIC_EXAMPLE,autonomous,-25.8742,-44.2848,57.403,12.9877,-3.2979,12679,95,0,74.26,0,35,1486,174,74.36,0,35,1486,174,74.31,0,35,1486,174,78.28,0,35,1567,181,78.41,0,35,1567,181,78.34,0,35,1567,181,479.78,0,45,9600,737,479.78,0,45,9600,737
72,15600,3600,3.6,SYNTHETIC_EXAMPLE,autonomous,-25.3195,-43.9289,57.228,13.1813,-3.5055,12678,95,0,75.28,0,35,1506,175,75.38,0,35,1506,176,75.33,0,35,1506,176,79.55,0,35,1592,183,79.67,0,35,1592,183,79.6,0,35,1592,183,479.81,0,45,9600,737,479.81,0,45,9600,737
73,15650,3650,3.65,SYNTHETIC_EXAMPLE,autonomous,-24.7581,-43.5661,57.042,13.3686,-3.7233,12678,95,0,76.25,0,35,1525,177,76.34,0,35,1525,177,76.3,0,35,1525,177,80.79,0,35,1617,184,80.9,0,35,1617,184,80.83,0,35,1617,184,479.84,0,45,9600,737,479.84,0,45,9600,737
74,15700,3700,3.7,SYNTHETIC_EXAMPLE,autonomous,-24.1903,-43.1966,56.844,13.5492,-3.9519,12677,95,0,77.18,0,35,1544,178,77.27,0,35,1544,178,77.23,0,35,1544,178,82.0,0,35,1641,186,82.1,0,35,1641,186,82.02,0,35,1641,186,479.86,0,45,9600,737,479.86,0,45,9600,737
75,15750,3750,3.75,SYNTHETIC_EXAMPLE,autonomous,-23.6165,-42.8203,56.635,13.7229,-4.1917,12677,95,0,78.06,0,35,1561,179,78.14,0,35,1561,179,78.11,0,35,1561,179,83.17,0,35,1664,187,83.26,0,35,1664,187,83.18,0,35,1664,187,479.88,0,45,9600,737,479.88,0,45,9600,737
